enrolled,invited,age,female,self.plus1,self.plus2,hispanic,race.white,race.black,race.nwother,english,signed.self.up,phone,pobox,first.day,income
0,0,49,1,1,0,0,0,0,1,1,1,1,1,1,0
0,0,50,0,0,0,0,1,0,0,1,1,1,0,0,0
1,1,34,1,0,0,0,0,0,1,1,1,1,0,1,21.16491699
0,0,27,0,1,0,1,0,0,0,0,0,1,0,0,3.377465487
0,0,55,0,0,0,0,1,0,0,1,1,0,0,0,5.668934345
0,1,34,0,0,1,0,1,0,0,1,0,1,0,0,4.846839905
0,1,23,1,1,0,0,1,0,0,1,0,1,0,0,111.5305405
0,1,25,1,1,0,1,1,0,0,0,1,1,0,0,119.0476227
0,0,49,0,0,0,0,1,0,0,1,1,0,0,0,0
1,1,44,1,0,0,0,1,0,0,1,1,1,0,0,28.34467125
0,1,49,1,1,0,0,1,0,0,1,1,1,0,0,4.846839905
0,0,37,0,1,0,0,1,0,0,1,0,1,0,0,63.00891876
1,1,48,0,0,0,0,1,0,0,1,1,1,0,0,0
0,0,23,1,0,0,0,1,0,0,1,1,1,0,0,126.9621429
1,1,28,1,0,0,0,1,0,0,1,1,1,0,1,5.668934345
1,1,30,0,0,0,0,0,0,1,1,1,0,0,0,43.62155914
0,1,37,1,1,0,0,1,0,0,1,0,1,0,0,180.1647186
0,0,58,0,0,0,0,1,0,0,1,1,1,0,0,197.3232727
1,1,55,0,0,0,0,1,0,1,1,1,1,0,0,11.54201317
0,1,33,1,0,0,0,1,0,0,1,1,0,0,0,57.71006393
1,1,59,0,0,0,0,1,0,0,1,1,1,0,0,343.1777649
0,1,61,1,0,0,0,1,0,0,1,1,1,0,0,85.03401184
1,1,22,0,0,0,0,0,1,0,1,1,0,0,0,0
0,0,21,1,0,0,0,1,0,1,1,1,1,0,0,8.57927227
0,1,22,0,1,0,0,1,0,0,1,0,1,0,0,128.6890869
1,0,30,1,1,0,0,1,0,0,1,1,0,0,0,102.4030609
0,1,41,0,1,0,0,1,0,0,1,0,0,0,0,85.03401184
0,1,49,1,1,0,1,0,0,0,1,0,1,0,0,130.3854828
1,1,28,0,0,0,0,0,1,0,1,1,1,0,0,0
0,0,33,0,1,0,0,1,0,0,1,0,1,0,0,121.1709976
0,1,23,1,1,0,0,1,0,1,1,1,1,0,0,75.09557343
0,1,24,1,0,0,0,1,0,0,1,1,0,0,0,47.78809357
